shape id,point id,columns,rows,provinsi,ISO
0,0,0,582,Aceh,AC
0,1,29,533,Aceh,AC
0,2,85,533,Aceh,AC
0,3,114,582,Aceh,AC
0,4,85,633,Aceh,AC
0,5,29,633,Aceh,AC
0,6,0,582,Aceh,AC
1,0,255,232,Lampung,LA
1,1,284,183,Lampung,LA
1,2,340,183,Lampung,LA
1,3,369,232,Lampung,LA
1,4,340,283,Lampung,LA
1,5,284,283,Lampung,LA
1,6,255,232,Lampung,LA
2,0,255,332,Sumatra Selatan,SS
2,1,284,283,Sumatra Selatan,SS
2,2,340,283,Sumatra Selatan,SS
2,3,369,332,Sumatra Selatan,SS
2,4,340,383,Sumatra Selatan,SS
2,5,284,383,Sumatra Selatan,SS
2,6,255,332,Sumatra Selatan,SS
3,0,255,532,Kepulauan Riau,KR
3,1,284,483,Kepulauan Riau,KR
3,2,340,483,Kepulauan Riau,KR
3,3,369,532,Kepulauan Riau,KR
3,4,340,583,Kepulauan Riau,KR
3,5,284,583,Kepulauan Riau,KR
3,6,255,532,Kepulauan Riau,KR
4,0,170,282,Bengkulu,BE
4,1,199,233,Bengkulu,BE
4,2,255,233,Bengkulu,BE
4,3,284,282,Bengkulu,BE
4,4,255,333,Bengkulu,BE
4,5,199,333,Bengkulu,BE
4,6,170,282,Bengkulu,BE
5,0,170,382,Jambi,JA
5,1,199,333,Jambi,JA
5,2,255,333,Jambi,JA
5,3,284,382,Jambi,JA
5,4,255,433,Jambi,JA
5,5,199,433,Jambi,JA
5,6,170,382,Jambi,JA
6,0,170,482,Riau,RI
6,1,199,433,Riau,RI
6,2,255,433,Riau,RI
6,3,284,482,Riau,RI
6,4,255,533,Riau,RI
6,5,199,533,Riau,RI
6,6,170,482,Riau,RI
7,0,85,432,Sumatra Barat,SB
7,1,114,383,Sumatra Barat,SB
7,2,170,383,Sumatra Barat,SB
7,3,199,432,Sumatra Barat,SB
7,4,170,483,Sumatra Barat,SB
7,5,114,483,Sumatra Barat,SB
7,6,85,432,Sumatra Barat,SB
8,0,85,532,Sumatra Utara,SU
8,1,114,483,Sumatra Utara,SU
8,2,170,483,Sumatra Utara,SU
8,3,199,532,Sumatra Utara,SU
8,4,170,583,Sumatra Utara,SU
8,5,114,583,Sumatra Utara,SU
8,6,85,532,Sumatra Utara,SU
9,0,340,382,Kepulauan Bangka Belitung,BB
9,1,369,333,Kepulauan Bangka Belitung,BB
9,2,425,333,Kepulauan Bangka Belitung,BB
